################################
# orbit and GW data for:
#    E = -0.03445 l = 3.7
################################
# t  r(t)  phi(t)  Hplus(t)  Hcross(t)
0 4.940823387774099 0.0 -9.573373090377147e-06 -1.6833306037324056e-05
1 4.942634629944789 0.15152941757713162 -5.989341337915682e-06 -2.2483570482419376e-05
2 4.948074588743755 0.30283682917539134 -1.6500594603220652e-06 -2.52330587130013e-05
3 4.957161770850402 0.4537009200017573 2.8793987094249905e-06 -2.4749327812698186e-05
4 4.969926383698189 0.6039018388072014 7.015786806150539e-06 -2.1126387145017505e-05
5 4.986409438326832 0.753221924785076 1.0235729945600501e-05 -1.4865369469374916e-05
6 5.00666141022128 0.9014466267373004 1.2144056693833809e-05 -6.799935006300605e-06
7 5.030740726056067 1.0483653694115 1.2523031586134079e-05 2.021873674100527e-06
8 5.058711737783181 1.1937726660600259 1.135608243926049e-05 1.0481569714259872e-05
9 5.090642728375971 1.3374691456778212 8.823496992240482e-06 1.7538970206470902e-05
10 5.126603355755112 1.4792628693546246 5.271712552458309e-06 2.236474925945192e-05
11 5.16666237887713 1.6189704598790498 1.1615844555123457e-06 2.443894242366287e-05
12 5.210884825195098 1.7564185497987372 -2.9961536846705192e-06 2.360326819643385e-05
13 5.259329649408214 1.8914449202907564 -6.70857306765627e-06 2.006241606742493e-05
14 5.312047039763911 2.0238998827190864 -9.561786675410376e-06 1.4337161101699799e-05
15 5.369076145944134 2.153647359284359 -1.126767112667452e-05 7.178966126741032e-06
16 5.430443030851156 2.2805659128238585 -1.1690684974016436e-05 -5.393101443629939e-07
17 5.496158613021989 2.404549692021317 -1.0852679828139147e-05 -7.939620727938969e-06
18 5.566217543761534 2.525508911756485 -8.916998124362113e-06 -1.4245314823792358e-05
19 5.640596871720758 2.6433704476683535 -6.1560255802764835e-06 -1.886445134272758e-05
20 5.719255514295339 2.7580778386670706 -2.908348696406388e-06 -2.1441005884840873e-05
21 5.8021341595849005 2.8695912228881935 4.675000641306688e-07 -2.1870711277000378e-05
22 5.8891553127527185 2.9778870598345835 3.6361016760636684e-06 -2.0283809784750698e-05
23 5.9802241519467225 3.082957357383064 6.319698423385993e-06 -1.7001449282894192e-05
24 6.075229338791464 3.1848090080361167 8.32092369751412e-06 -1.2475230875467858e-05
25 6.174044354464947 3.2834627676369554 9.53256753026696e-06 -7.220451142479018e-06
26 6.276529241786849 3.3789519458741837 9.93525437065268e-06 -1.7526170312579694e-06
27 6.382531967963973 3.471321427091601 9.585474487008798e-06 3.4652306428544668e-06
28 6.491890574006943 3.560626138914478 8.597248060116487e-06 8.059775968432811e-06
29 6.604434949396026 3.6469297614330025 7.12095063614134e-06 1.17677954105431e-05
30 6.7199885817595755 3.7303035134226277 5.322472544965771e-06 1.4440590005803339e-05
31 6.8383706924242205 3.8108246204517915 3.3650853256289264e-06 1.603549342516316e-05
32 6.959397654513937 3.888575293972895 1.3955468340115534e-06 1.6598410979476666e-05
33 7.082884755321825 3.9636414902560944 -4.650021177316524e-07 1.62414641518784e-05
34 7.208647764358689 4.036111744737177 -2.1255443292277193e-06 1.5119517959542446e-05
35 7.336503994485194 4.106076400721295 -3.5257340244903234e-06 1.3408434041413404e-05
36 7.4662736696936385 4.173626588520802 -4.633554626253095e-06 1.1286753631479325e-05
37 7.59778084155508 4.238853503801424 -5.441081185933035e-06 8.92192491107931e-06
38 7.730854113891954 4.301847842032036 -5.959281133425555e-06 6.461184662241137e-06
39 7.865327453799269 4.362699121338637 -6.212691312480264e-06 4.026334690695424e-06
40 8.001040643603394 4.421495282726202 -6.2344795822651984e-06 1.7121194272026852e-06
41 8.137839641882401 4.478322344445601 -6.062216549456898e-06 -4.1282232914696497e-07
42 8.275576920408222 4.533264033160747 -5.734500339475251e-06 -2.303580244239709e-06
43 8.414111635625025 4.58640157567928 -5.288512785359667e-06 -3.935418068353247e-06
44 8.553309681918408 4.637813556069735 -4.758357092041027e-06 -5.2998986626877606e-06
45 8.693043701947277 4.687575767680953 -4.1740498366752844e-06 -6.401186542698791e-06
46 8.833193052632772 4.735761126794176 -3.5611294151839003e-06 -7.252518093491222e-06
47 8.97364372665191 4.782439658346311 -2.940585331548417e-06 -7.873228162973389e-06
48 9.1142881649454 4.82767847404481 -2.3290780213475555e-06 -8.286315539617338e-06
49 9.25502501744684 4.871541814203198 -1.739390569894343e-06 -8.516477445891929e-06
50 9.3957590302261 4.914091066873474 -1.1808655956488948e-06 -8.588665581524106e-06
51 9.536400830737865 4.955384825496927 -6.599262695558973e-07 -8.52704678962424e-06
52 9.676866647698484 4.995478948470971 -1.806241436330119e-07 -8.354310816526374e-06
53 9.817077948944625 5.034426701685854 2.5493427201643467e-07 -8.091234312387256e-06
54 9.956961289474668 5.07227881507023 6.46168994183966e-07 -7.75645593834796e-06
55 10.096448205246741 5.109083523166922 9.936387800261705e-07 -7.366428750704533e-06
56 10.235474760536855 5.1448867134856915 1.2987514869264488e-06 -6.935460589922878e-06
57 10.373981376325974 5.1797320006057035 1.5635200840210682e-06 -6.475815563107819e-06
58 10.511912406809225 5.2136609226424175 1.7903548966694234e-06 -5.997863811629055e-06
59 10.649216113676845 5.246712952273191 1.981902490436211e-06 -5.510265277252022e-06
60 10.785844584479898 5.278925532014454 2.140918944636514e-06 -5.020189402918414e-06
61 10.9217531895015 5.310334284408826 2.2701798066068497e-06 -4.5334927300142526e-06
62 11.056900608416287 5.340972995547008 2.372419477649973e-06 -4.054823098516962e-06
63 11.191248355561623 5.37087386071474 2.450274414658035e-06 -3.5878131887242824e-06
64 11.324760713483776 5.40006751582577 2.506243651764122e-06 -3.135307597607009e-06
65 11.457404732937926 5.4285830374218556 2.5426785845362494e-06 -2.699493512779622e-06
66 11.589150095727554 5.456448004487536 2.5617727550243625e-06 -2.2819170675653406e-06
67 11.719968597159099 5.483688708888245 2.565544621816517e-06 -1.883527243300948e-06
68 11.8498343139687 5.510330089913699 2.5558412823404274e-06 -1.5049103832347245e-06
69 11.978723196623191 5.536395952794617 2.534352734464521e-06 -1.146403955576365e-06
70 12.106613035194357 5.561908985331036 2.502628883613802e-06 -8.081190603771271e-07
71 12.23348345935892 5.586890757892309 2.462077161102382e-06 -4.899277195074316e-07
72 12.35931590661371 5.611361738835565 2.413926347128825e-06 -1.9137016305875937e-07
73 12.484093182953297 5.6353414929278705 2.3592784845159065e-06 8.809517575309193e-08
74 12.607799605713916 5.658848602954772 2.2991480850955364e-06 3.489773543915276e-07
75 12.730420758012132 5.681900822109205 2.234438336100997e-06 5.918905076062755e-07
76 12.851943392737812 5.704515124331246 2.165981149238397e-06 8.174547625665416e-07
77 12.972355432554135 5.726707704308115 2.094502422886441e-06 1.0263756053061621e-06
78 13.09164596989758 5.748493977474172 2.0205772887357603e-06 1.2195070189101223e-06
79 13.2098051722188 5.769888627960635 1.944741773747996e-06 1.39761510049334e-06
80 13.32682399291346 5.790905738802596 1.8675130911626842e-06 1.5613797993651289e-06
81 13.44269435851733 5.811558703938433 1.7893255050716196e-06 1.7115225698563085e-06
82 13.557408926461754 5.831860373267494 1.7105905473883975e-06 1.8487217802490535e-06
83 13.670961066254268 5.851823062889482 1.6316631704216318e-06 1.973657616043058e-06
84 13.783344859478602 5.871458555104448 1.552778237819797e-06 2.0870691324014726e-06
85 13.894555099794681 5.890778098412797 1.4741505779724133e-06 2.1896293612431767e-06
86 14.0045872576052 5.909792426968511 1.396026166369176e-06 2.2819272430028934e-06
87 14.113437235212743 5.928511883612884 1.3186047393135266e-06 2.364545508697709e-06
88 14.221101542323934 5.946946319679237 1.2420590208002839e-06 2.438046456425735e-06
89 14.327577135033666 5.965105204564176 1.1665666930644551e-06 2.5029575018456983e-06
90 14.432861377917007 5.982997648216527 1.092229167045162e-06 2.5598118210269204e-06
91 14.536952044029197 6.000632401137346 1.01908014560472e-06 2.6091191048415916e-06
92 14.63984731490566 6.018017854379912 9.472028812961979e-07 2.6513333201253516e-06
93 14.741545780561989 6.035162039549731 8.767020356155637e-07 2.686880734368473e-06
94 14.842046395595153 6.052072654951122 8.076169734253327e-07 2.7161753983917666e-06
95 14.941348315304653 6.068757151686003 7.400133177115268e-07 2.7396071993360336e-06
96 15.039451060866718 6.0852226352596865 6.739670887291377e-07 2.7575518002162925e-06
97 15.13635438400822 6.101475962533004 6.094802288742114e-07 2.7703665747254107e-06
98 15.232058249704629 6.117523752812346 5.465204876663177e-07 2.778370098932559e-06
99 15.326562836180011 6.133372387849656 4.850821400231696e-07 2.7818573579270435e-06
100 15.419868534907033 6.149028011842433 4.2521085756377377e-07 2.781130095675646e-06
101 15.511975950606958 6.164496531433732 3.669122564665646e-07 2.7764647515214624e-06
102 15.602885901249646 6.179783615712162 3.101617119028496e-07 2.7681073778538937e-06
103 15.692599347164201 6.1948947426116066 2.5499293606999615e-07 2.7563232320075917e-06
104 15.781117339496813 6.209835219758869 2.0141360967059515e-07 2.741360190618115e-06
105 15.868441124877368 6.224610122742573 1.493761504384758e-07 2.723419542995445e-06
106 15.954572044064562 6.239224372399002 9.883114187567198e-08 2.7026753392555896e-06
107 16.039511530203555 6.253682736037195 4.9747329139665335e-08 2.679296581463604e-06
108 16.12326110882596 6.267989827438944 2.1454797107206373e-09 2.6534977989030404e-06
109 16.20582239784985 6.282150106858799 -4.398617200589974e-08 2.6254588467371047e-06
110 16.287197107579754 6.296167881024065 -8.870817130794792e-08 2.5952952717673075e-06
111 16.367387040706664 6.3100473031348026 -1.320125079967184e-07 2.5631874517416517e-06
112 16.446394092306175 6.323792372865326 -1.7389030766053475e-07 2.529318995448033e-06
113 16.524220175192017 6.337406992535458 -2.1438576176154565e-07 2.493808187016555e-06
114 16.600867237891116 6.350894939653049 -2.535449996889593e-07 2.456753965344007e-06
115 16.676337312147545 6.364259840997399 -2.914123780913924e-07 2.4182403362569887e-06
116 16.750632450883632 6.377505227064737 -3.28022081606252e-07 2.3783525070347755e-06
117 16.823754728199944 6.390634532068215 -3.63363399191784e-07 2.33725250574357e-06
118 16.895706239375286 6.403651093937914 -3.974493642985009e-07 2.2950638685351665e-06
119 16.96648910086671 6.4165581543208425 -4.3034970351250694e-07 2.25179612576773e-06
120 17.036105450309506 6.429358858580934 -4.620732008991826e-07 2.207559036431243e-06
121 17.1045574465172 6.442056255799051 -4.92608227252412e-07 2.1625058849544755e-06
122 17.171847269481578 6.45465329877298 -5.219869612362797e-07 2.1167093955376786e-06
123 17.237977120372648 6.467152844017437 -5.502466685902707e-07 2.0702212372385024e-06
124 17.302949196337654 6.479557675906688 -5.774225759040425e-07 2.023084921063919e-06
125 17.36676564446824 6.491870539325784 -6.035477029097801e-07 1.9753365376034833e-06
126 17.429428653683782 6.504094051864678 -6.286527150079326e-07 1.927005505170088e-06
127 17.49094039917936 6.516230769152717 -6.527431638313295e-07 1.8781901352164614e-06
128 17.551303038178034 6.528283189297125 -6.758177557960785e-07 1.8290199115035023e-06
129 17.610518709930826 6.540253752883004 -6.979237095826969e-07 1.7794748980630784e-06
130 17.668589535716738 6.5521448429733375 -7.191008280642047e-07 1.729535272668105e-06
131 17.725517618842733 6.563958785108987 -7.393422118709631e-07 1.6793265218148848e-06
132 17.78130504464375 6.575697847308693 -7.58654893565872e-07 1.6289434041974731e-06
133 17.835953880482702 6.587364240069077 -7.770668429360624e-07 1.5784111009870916e-06
134 17.889466175750464 6.598960116364637 -7.946043537869919e-07 1.5277505926112591e-06
135 17.941843961865892 6.610487571647751 -8.11291997511595e-07 1.4769790872278346e-06
136 17.993089252275805 6.62194864384868 -8.271525898823637e-07 1.4261104353131934e-06
137 18.043204038361313 6.633345319304221 -8.422071701298228e-07 1.3751555298404912e-06
138 18.09219023941364 6.644679595345958 -8.564749913730907e-07 1.3241226918801773e-06
139 18.14004976636013 6.655953376690344 -8.699671553573417e-07 1.2730610168591402e-06
140 18.186784506443104 6.667168515096257 -8.82683190991853e-07 1.2221105716684623e-06
141 18.232396309597437 6.678326831388998 -8.946481254437037e-07 1.1712643205567677e-06
142 18.276886988450524 6.689430115460287 -9.059023619405323e-07 1.1203797424681728e-06
143 18.3202583183223 6.700480126268266 -9.164485169848397e-07 1.0695366827374213e-06
144 18.36251203722523 6.711478591837494 -9.262850690027434e-07 1.018867999410286e-06
145 18.40364984586432 6.722427209258955 -9.354302127903905e-07 9.683900975434418e-07
146 18.443673407637103 6.733327644690049 -9.439020535172713e-07 9.181107752795814e-07
147 18.482584348633647 6.744181533354598 -9.517175081828711e-07 8.680361728327743e-07
148 18.520384257636564 6.754990479542845 -9.588923122287856e-07 8.181709903993888e-07
149 18.557074686120984 6.765756056611452 -9.654410311206018e-07 7.685186972490962e-07
150 18.592657148254588 6.776479806983502 -9.713770765305916e-07 7.190817319676474e-07
151 18.62713312089758 6.787163242148498 -9.767127267624543e-07 6.698616939746139e-07
152 18.6605040436027 6.7978078426623645 -9.814591510783196e-07 6.208595263026891e-07
153 18.692771318615225 6.808415058147444 -9.856264376251938e-07 5.720756897130901e-07
154 18.72393630213272 6.818986328881721 -9.892236566119619e-07 5.235503990303972e-07
155 18.75400028054516 6.829523123303267 -9.922625779446373e-07 4.7545350611162925e-07
156 18.782964515802597 6.84002682180958 -9.94759187275475e-07 4.2775444241906116e-07
157 18.810830227469523 6.85049878523237 -9.967239719779232e-07 3.801868954297826e-07
158 18.837598590260153 6.860940361971686 -9.981608627355597e-07 3.328082709541235e-07
159 18.86327073403843 6.871352887995917 -9.990779172689996e-07 2.858018004699259e-07
160 18.88784774381801 6.881737686841787 -9.99487188980356e-07 2.391882412701012e-07
161 18.91133065976228 6.8920960696143645 -9.994002044460886e-07 1.9296909334163306e-07
162 18.933720477184348 6.902429334987053 -9.988277602593094e-07 1.471452793735164e-07
163 18.955018146547044 6.912738769201597 -9.977799372540806e-07 1.0171724820745966e-07
164 18.97522457346292 6.923025646068076 -9.962661165187564e-07 5.668507383224479e-08
165 18.994340618694252 6.933291226964915 -9.942949970598042e-07 1.2048549990239838e-08
166 19.01236709815304 6.943536760838872 -9.91874614994677e-07 -3.21927195952895e-08
167 19.029304782901004 6.953763484205047 -9.890123641446069e-07 -7.603923529752362e-08
168 19.045154399149588 6.963972621146877 -9.857150179136973e-07 -1.1949151988515337e-07
169 19.05991662825996 6.97416538331614 -9.819887523611782e-07 -1.625500409598848e-07
170 19.073592106743007 6.984342969932951 -9.778391703472392e-07 -2.0521513753623318e-07
171 19.086181426259348 6.9945065677857645 -9.732713266631015e-07 -2.4748695068985333e-07
172 19.09768513361931 7.0046573512313755 -9.682897540766976e-07 -2.893653581236347e-07
173 19.108103730782958 7.014796482194915 -9.628984901868419e-07 -3.3084991268037336e-07
174 19.11743767376665 7.024925114445955 -9.571011611103023e-07 -3.7193950891032616e-07
175 19.12568735574427 7.035044448281563 -9.509224113754674e-07 -4.125333838847305e-07
176 19.132853126804456 7.045155642736064 -9.443923993755895e-07 -4.525263438732324e-07
177 19.13893529461151 7.055259838266941 -9.3749069034687e-07 -4.920623585209023e-07
178 19.14393412030804 7.065358176081399 -9.301927660094328e-07 -5.31270393973229e-07
179 19.147849818514953 7.075451798136359 -9.225193065348289e-07 -5.700550636815092e-07
180 19.150682557331482 7.08554184713846 -9.144907802266511e-07 -6.083414202827028e-07
181 19.152432458335163 7.09562946654406 -9.061128710845029e-07 -6.461298757375858e-07
182 19.153099596581846 7.105715800559233 -8.973908531133582e-07 -6.834207955203021e-07
183 19.152684000605685 7.115801994139775 -8.883296041678479e-07 -7.20214452072643e-07
184 19.15118565241915 7.125889192991196 -8.789336204095529e-07 -7.565109803087154e-07
185 19.148604487513023 7.135978543568725 -8.692070313515024e-07 -7.923103350762151e-07
186 19.14494039485639 7.146071193077311 -8.591536154853221e-07 -8.276122504588925e-07
187 19.14019321689665 7.156168289471617 -8.487768164084156e-07 -8.624162010721073e-07
188 19.13436274955952 7.166270981456029 -8.380797594440253e-07 -8.967213652296075e-07
189 19.12744874224902 7.176380418484648 -8.270652687499425e-07 -9.305265899046088e-07
190 19.11945089784747 7.186497750761292 -8.157358848393231e-07 -9.638303575856258e-07
191 19.110368872715526 7.1966241292395 -8.040938825055848e-07 -9.966307549777237e-07
192 19.100202276692137 7.206760705622527 -7.921412891623378e-07 -1.0289254434415291e-06
193 19.088950674146005 7.216908649011032 -7.798799035236463e-07 -1.0607116312667114e-06
194 19.076613582084658 7.227069165807169 -7.673208661296066e-07 -1.0919652332668428e-06
195 19.06319046531471 7.2372434218357125 -7.544983714255623e-07 -1.12261626334818e-06
196 19.04868074324276 7.247432592386517 -7.414070420139847e-07 -1.1526870029746148e-06
197 19.033083790258985 7.257637866276095 -7.28000189334087e-07 -1.1822823011814173e-06
198 19.016398935737147 7.26786044584762 -7.142891700760885e-07 -1.2113721658989956e-06
199 18.998625464034603 7.278101546970924 -7.003063946740265e-07 -1.2398862665913583e-06
200 18.979762614492287 7.288362399042496 -6.860569036635979e-07 -1.267818876058758e-06
201 18.959809581434712 7.298644244985487 -6.715433653903822e-07 -1.2951687561350497e-06
202 18.938765514169987 7.308948341249705 -6.567681931998358e-07 -1.3219343477739384e-06
203 18.916629516989794 7.319275957811618 -6.417335584396958e-07 -1.348113739041922e-06
204 18.893400649169404 7.32962837817435 -6.264414040352208e-07 -1.3737046341378645e-06
205 18.86907792496768 7.3400068993676895 -6.108934586380836e-07 -1.3987043234360563e-06
206 18.84366031362706 7.35041283194808 -5.950912513359046e-07 -1.4231096545715182e-06
207 18.81714673937356 7.3608474999986235 -5.790361269346778e-07 -1.4469170045796915e-06
208 18.789536081416795 7.371312241129083 -5.627292617778768e-07 -1.470122253131932e-06
209 18.760827173949963 7.38180840647588 -5.461716801249007e-07 -1.4927207568488088e-06
210 18.731018806149834 7.392337360702094 -5.293642710934676e-07 -1.5147073247334924e-06
211 18.70010972319894 7.402900484506689 -5.123078061260037e-07 -1.5360761947714194e-06
212 18.668098651831386 7.413499242545324 -4.9500295700995e-07 -1.5568210116740071e-06
213 18.634984251320013 7.424135071724554 -4.774577169215232e-07 -1.5769269407972172e-06
214 18.600765127424168 7.434809403575302 -4.5971681943054446e-07 -1.5963427404512304e-06
215 18.56543984885491 7.445523702429963 -4.417770262882606e-07 -1.615072764956228e-06
216 18.529006947275008 7.456279465422403 -4.2356312861274335e-07 -1.633192433758506e-06
217 18.491464917298956 7.467078222487963 -4.050832552044141e-07 -1.6506809979707554e-06
218 18.452812216492948 7.477921536363453 -3.863889726722202e-07 -1.6674761555956477e-06
219 18.413047265374907 7.488811002587154 -3.6748949082534644e-07 -1.6835657868009184e-06
220 18.372168447414463 7.499748249498823 -3.483860889813735e-07 -1.6989458052786696e-06
221 18.330174109032964 7.5107349382396835 -3.29079858379217e-07 -1.713611517523226e-06
222 18.287062559603463 7.521772762752436 -3.0957172104717273e-07 -1.7275575851533748e-06
223 18.242832071450742 7.532863449781249 -2.8986244972030667e-07 -1.7407779882973404e-06
224 18.197480879851287 7.544008758871767 -2.699526888618343e-07 -1.753265990081152e-06
225 18.1510071830333 7.555210482371101 -2.4984297678545256e-07 -1.7650141022986822e-06
226 18.103409142176705 7.5664704454278375 -2.295337688676749e-07 -1.776014052367659e-06
227 18.054684881413127 7.577790505992034 -2.0902546189749405e-07 -1.7862567516351837e-06
228 18.00483248782592 7.589172554815221 -1.8831841954754366e-07 -1.7957322651206836e-06
229 17.953850011450136 7.600618515450398 -1.674129989992306e-07 -1.8044297828058052e-06
230 17.901735478540015 7.6121303628711265 -1.4630957871338088e-07 -1.812337592576414e-06
231 17.848486941109446 7.623710197974188 -1.250085873597353e-07 -1.819443054913738e-06
232 17.794102360504244 7.635360085855785 -1.0351053395514054e-07 -1.825732579444593e-06
233 17.738579672202633 7.647082138795609 -8.185248398520574e-08 -1.8311824388170814e-06
234 17.681916798873708 7.658878534014396 -6.009851215440327e-08 -1.835768438473496e-06
235 17.624111650377415 7.6707515136739275 -3.817947058230484e-08 -1.8395044560503985e-06
236 17.565162123764562 7.682703384877035 -1.5986629344947418e-08 -1.8424008331347505e-06
237 17.505066103276818 7.694736519667591 6.415647721034427e-09 -1.8444173869383573e-06
238 17.443821460346708 7.706853355030519 2.8948687264332678e-08 -1.845520627577501e-06
239 17.381426053597615 7.719056392891786 5.161019624367507e-08 -1.8457017588843945e-06
240 17.317877728843783 7.731348200118404 7.4399659551655e-08 -1.8449512568286018e-06
241 17.25317431909032 7.7437314085184346 9.731662170323042e-08 -1.8432583232886116e-06
242 17.187313644533187 7.756208714840984 1.2036064202632568e-07 -1.8406108346189116e-06
243 17.1202935125592 7.768782880776202 1.4353124747140341e-07 -1.8369952932660583e-06
244 17.052111717746048 7.781456732955289 1.6682788297521186e-07 -1.8323967826770326e-06
245 16.982766080849338 7.794233200507524 1.90249859370427e-07 -1.8267989257752734e-06
246 16.91225448443973 7.807115352038044 2.1379629884665124e-07 -1.8201838472841096e-06
247 16.84057473720858 7.820106264230256 2.374660779231951e-07 -1.812532140200952e-06
248 16.767724681515556 7.833209122419804 2.6125776789238833e-07 -1.8038228367470719e-06
249 16.693702199625378 7.8464272265230015 2.8516957273239e-07 -1.7940333841377429e-06
250 16.61850521370782 7.859763991036837 3.091992645102673e-07 -1.7831396255269536e-06
251 16.542131685837727 7.87322294503897 3.333441162366773e-07 -1.7711157865347863e-06
252 16.464579617994996 7.886807732187735 3.5760083217010563e-07 -1.7579344677629526e-06
253 16.385847052064587 7.900522110722138 3.819270013796517e-07 -1.7435874862503078e-06
254 16.30593206983652 7.914369953461858 4.062293481917909e-07 -1.7281021678983762e-06
255 16.224832793005866 7.928355247807248 4.305578509243128e-07 -1.7114372043299745e-06
256 16.14254738317277 7.942482095739332 4.550429742212358e-07 -1.6934931103248022e-06
257 16.05907407033519 7.956754735827154 4.796210201791221e-07 -1.6742641820481022e-06
258 15.97441125942318 7.971177625958573 5.041964204770349e-07 -1.6537730079099668e-06
259 15.888557334424613 7.985755291847532 5.287642438765121e-07 -1.6319996730734723e-06
