################################
# orbit and GW data for:
#    E = -0.03445 l = 3.7
################################
# t  r(t)  phi(t)  Hplus(t)  Hcross(t)
260 15.801510795218558 8.000492431761275 5.533224377571986e-07 -1.6089200172487474e-06
261 15.713270280954433 8.01539393452143 5.778683178448368e-07 -1.5845072767415582e-06
262 15.623834570052004 8.030464879504017 6.023984450808558e-07 -1.5587320640964367e-06
263 15.533202580201387 8.045710536639437 6.269084975796735e-07 -1.531562360315361e-06
264 15.441373368363042 8.06113636641248 6.513931376987236e-07 -1.5029635206209417e-06
265 15.348346130767782 8.076748019862325 6.75845874290028e-07 -1.4728982947623346e-06
266 15.254120202916765 8.092551338582538 7.00258920227845e-07 -1.4413268629319322e-06
267 15.158695062275713 8.108552356524866 7.24623045268835e-07 -1.408206888500632e-06
268 15.062070493012627 8.124757409637745 7.489274244603219e-07 -1.373493588723105e-06
269 14.9642464346696 8.14117303287351 7.731228576927566e-07 -1.3371908974503174e-06
270 14.86522303389619 8.157805995935915 7.971287402411774e-07 -1.299354845128069e-06
271 14.765000748687024 8.174663373380772 8.209762568790708e-07 -1.2598955633191236e-06
272 14.663580348381794 8.191752544615959 8.447305273146194e-07 -1.2186598332161562e-06
273 14.56096291366526 8.209081193901405 8.683166758716751e-07 -1.1756799863231774e-06
274 14.45714983656725 8.22665731034911 8.916580025814197e-07 -1.131003079067952e-06
275 14.35214282046266 8.244489187923126 9.147442875501963e-07 -1.08458661839323e-06
276 14.245943881304811 8.26258542618609 9.375641529758892e-07 -1.0363827140524471e-06
277 14.138555547940273 8.280955049872945 9.601037134620986e-07 -9.863396665421467e-07
278 14.029980740565795 8.299607430788422 9.823463043211417e-07 -9.344021590816588e-07
279 13.920222818868062 8.3185523205316 1.0042722035189812e-06 -8.805114908307337e-07
280 13.809285734447318 8.337799943830085 1.0258583479249206e-06 -8.246058542553999e-07
281 13.697174030817376 8.357360998540004 1.0470776849521451e-06 -7.666215656798657e-07
282 13.583892843405607 8.37724665564601 1.0678589717422811e-06 -7.066000564640473e-07
283 13.469447899552952 8.397468559261283 1.0881349247645852e-06 -6.445836898069939e-07
284 13.353845518916813 8.418038826856606 1.1079210464060019e-06 -5.804042920759707e-07
285 13.237092880261237 8.43897019789322 1.1271947780656293e-06 -5.139689577706818e-07
286 13.119197876900436 8.460275940962472 1.1458640097734526e-06 -4.453660623960124e-07
287 13.00016919505005 8.481969903032677 1.1638714056178457e-06 -3.7460562776688326e-07
288 12.880016578370503 8.504066661941586 1.1811862208691026e-06 -3.0161726798918695e-07
289 12.758750827967011 8.526581526396393 1.197771893852583e-06 -2.263269583636842e-07
290 12.63638380238958 8.549530535973737 1.213585570185538e-06 -1.4865779575308794e-07
291 12.512928417633002 8.572930461119693 1.2285776275768826e-06 -6.853086269900102e-08
292 12.388398647136864 8.596798803149781 1.2426883008741815e-06 1.4118708291138878e-08
293 12.262809896742006 8.621153985846181 1.2558251556132178e-06 9.920729619048081e-08
294 12.13617897965795 8.646015323018142 1.2679100426675255e-06 1.86714922828892e-07
295 12.008524115845729 8.671403030544958 1.2789030632909867e-06 2.768328986497168e-07
296 11.879865330305908 8.697338440788704 1.2887182725631501e-06 3.6954253270019824e-07
297 11.750224453088839 8.72384400259963 1.2972515846814033e-06 4.6472169697198715e-07
298 11.619625119294676 8.750943281316166 1.3044282006366913e-06 5.624113788260768e-07
299 11.488092769073358 8.778660958764917 1.3101709953094098e-06 6.626944487032353e-07
300 11.355654877460926 8.807022943139613 1.3143909707395696e-06 7.6565132879668e-07
301 11.222341442556246 8.83605657705035 1.3169865306927344e-06 8.713557045526577e-07
302 11.088184669940775 8.86579048890279 1.3178394130859976e-06 9.797329190891805e-07
303 10.953219606153482 8.896254921743937 1.3168274629701718e-06 1.090678381571144e-06
304 10.81748417131126 8.927481749544658 1.3138341549508885e-06 1.2042816744009573e-06
305 10.681019159108935 8.959504477199687 1.3087313075975902e-06 1.3205078693114057e-06
306 10.543868238860972 8.992358241463275 1.3013834951722432e-06 1.4391754341248257e-06
307 10.40607856763992 9.026080074717205 1.2916553424104364e-06 1.560249447203228e-06
308 10.267700892699468 9.060708901405034 1.2793980819284228e-06 1.683774445182026e-06
309 10.128789794745932 9.096285681888018 1.2644433346915016e-06 1.8097754421049597e-06
310 9.989404117780614 9.132853620540581 1.2466162517840804e-06 1.938138811946469e-06
311 9.849606969099783 9.170458165750313 1.225741840545525e-06 2.068642295862487e-06
312 9.709465719294684 9.20914700991797 1.2016261104030705e-06 2.2011851704092537e-06
313 9.569052287520678 9.24897018534931 1.1740719876069013e-06 2.3356089284818943e-06
314 9.428444051457845 9.289980362205972 1.1428925690909139e-06 2.4715976399234817e-06
315 9.287723593166534 9.332232789195203 1.107874299950676e-06 2.608951352605119e-06
316 9.146979127990555 9.37578545996022 1.0687656912033235e-06 2.7475562917374664e-06
317 9.006304528145701 9.42069912139014 1.0253054014273169e-06 2.887181757435059e-06
318 8.86579947872698 9.467037302527501 9.772556599582926e-07 3.027392703830239e-06
319 8.72557014645054 9.514866458240627 9.243493290144388e-07 3.167782605677927e-06
320 8.585729115581556 9.564255941544769 8.662990288291656e-07 3.3079486565979388e-06
321 8.446395495970457 9.615277997492802 8.02877640270432e-07 3.4472222632404555e-06
322 8.307694961452473 9.6680077499207 7.338215463761365e-07 3.5849863822612956e-06
323 8.16976007823453 9.722523150427246 6.587827349150571e-07 3.7207538755843796e-06
324 8.032730206396952 9.77890483811779 5.773949149896036e-07 3.853902856914074e-06
325 7.896751288455106 9.837235950196202 4.893694497922532e-07 3.9835121671827345e-06
326 7.7619757848131465 9.897601984270338 3.944288649940479e-07 4.108534154912205e-06
327 7.628562656569574 9.96009053776536 2.9223654421546563e-07 4.227949818637084e-06
328 7.496676607875887 10.024790755759783 1.8255040825300816e-07 4.340486456484716e-06
329 7.366487720552583 10.091793051896746 6.512573495614179e-08 4.44476764645122e-06
